core_id	gene_bare	species	assembly	ref_chrom	ref_start	ref_end	ref_strand	query_chrom	query_start	query_end	embedding_sw_distance	effective_aligned_length	n_chains	ref_island	query_island	accepted	d_le_0.05	d_le_0.04	d_le_0.03	d_le_0.02	d_le_0.01
ENSG00000117242_core_3	ENSG00000117242	Bryde's whale	HLbalEde1	chr1	20648909	20649197	-	HiC_scaffold_1	155271192	155272000	0.0102	286	1	R2	Q4	True	True	True	True	True	False
ENSG00000117242_core_3	ENSG00000117242	Dromedary	HLcamDro2	chr1	20648909	20649197	-	CM016639	14601907	14602235	0.0099	288	1	R2	Q3	True	True	True	True	True	True
ENSG00000117242_core_3	ENSG00000117242	Virginia opossum	HLdidVir1	chr1	20648909	20649197	-	HiC_scaffold_3	43813846	43814134	0.0153	250	1	R2	Q4	True	True	True	True	True	False
ENSG00000117242_core_3	ENSG00000117242	Asian elephant	HLeleMax1	chr1	20648909	20649197	-	HiC_scaffold_245	185828	186076	0.0132	235	1	R2	Q13	True	True	True	True	True	False
ENSG00000117242_core_3	ENSG00000117242	Pangolin	HLmanJav2	chr1	20648909	20649197	-	VALM01000307	1516627	1516995	0.0104	286	1	R2	Q4	True	True	True	True	True	False
ENSG00000117242_core_3	ENSG00000117242	Tammar wallaby	HLnotEug3	chr1	20648909	20649197	-	HiC_scaffold_5	45833015	45833303	0.0248	204	1	R2	Q1	True	True	True	True	False	False
ENSG00000117242_core_3	ENSG00000117242	Rabbit	HLoryCun3	chr1	20648909	20649197	-	VIYN01005046	44447	45935	0.0747	288	1	R2	Q4	True	False	False	False	False	False
ENSG00000117242_core_3	ENSG00000117242	Flying fox	HLpteVam2	chr1	20648909	20649197	-	KN525753	986670	986958	0.0118	229	1	R2	Q3	True	True	True	True	True	False
ENSG00000117242_core_3	ENSG00000117242	Cow	bosTau9	chr1	20648909	20649197	-	chr2	131988735	131989023	0.0112	276	1	R2	Q4	True	True	True	True	True	False
ENSG00000117242_core_3	ENSG00000117242	Dog	canFam5	chr1	20648909	20649197	-	chr2	75663821	75664109	0.0123	266	1	R2	Q5	True	True	True	True	True	False
ENSG00000117242_core_3	ENSG00000117242	Armadillo	dasNov3	chr1	20648909	20649197	-	JH568085	1169305	1169553	0.014	234	1	R2	Q2	True	True	True	True	True	False
ENSG00000117242_core_3	ENSG00000117242	Horse	equCab3	chr1	20648909	20649197	-	chr2	33791222	33791510	0.0128	217	1	R2	Q6	True	True	True	True	True	False
ENSG00000117242_core_3	ENSG00000117242	Hedgehog	eriEur2	chr1	20648909	20649197	-	JH836005	1031244	1031412	0.092	106	1	R2	Q6	True	False	False	False	False	False
ENSG00000117242_core_3	ENSG00000117242	Cat	felCat9	chr1	20648909	20649197	-	chrC1	15142019	15142347	0.0118	288	1	R2	Q4	True	True	True	True	True	False
ENSG00000117242_core_3	ENSG00000117242	Mouse	mm39	chr1	20648909	20649197	-	chr4	138042912	138043120	0.0171	212	1	R2	Q6	True	True	True	True	True	False
ENSG00000117242_core_3	ENSG00000117242	Gray opossum	monDom5	chr1	20648909	20649197	-	chr4	357730749	357730957	0.0189	185	1	R2	Q7	True	True	True	True	True	False
ENSG00000117242_core_3	ENSG00000117242	Rhesus	rheMac10	chr1	20648909	20649197	-	chr1	204066939	204067307	0.0088	254	1	R2	Q5	True	True	True	True	True	True
ENSG00000117242_core_3	ENSG00000117242	Rat	rn7	chr1	20648909	20649197	-	chr5	150532910	150533118	0.0151	204	1	R2	Q3	True	True	True	True	True	False
ENSG00000117242_core_3	ENSG00000117242	Pig	susScr11	chr1	20648909	20649197	-	chr6	78882142	78883110	0.0588	208	1	R2	Q6	True	False	False	False	False	False
ENSG00000124915_core_1	ENSG00000124915	Bryde's whale	HLbalEde1	chr11	61746653	61746901	-	HiC_scaffold_5	9410393	9410721	0.0134	219	1	R0	Q5	True	True	True	True	True	False
ENSG00000124915_core_1	ENSG00000124915	Dromedary	HLcamDro2	chr11	61746653	61746901	-	CM016636	4237350	4237558	0.0155	203	1	R0	Q3	True	True	True	True	True	False
ENSG00000124915_core_1	ENSG00000124915	Virginia opossum	HLdidVir1	chr11	61746653	61746901	-	HiC_scaffold_5	237669443	237669571	0.0888	86	1	R0	Q0	True	False	False	False	False	False
ENSG00000124915_core_1	ENSG00000124915	Asian elephant	HLeleMax1	chr11	61746653	61746901	-	HiC_scaffold_23	88331526	88331694	0.0703	129	1	R0	Q0	True	False	False	False	False	False
ENSG00000124915_core_1	ENSG00000124915	Pangolin	HLmanJav2	chr11	61746653	61746901	-	VALM01000273	1327314	1327522	0.0183	202	1	R0	Q7	True	True	True	True	True	False
ENSG00000124915_core_1	ENSG00000124915	Tammar wallaby	HLnotEug3	chr11	61746653	61746901	-	HiC_scaffold_2	9991419	9993009	0.0262	279	1	R0	Q2	True	True	True	True	False	False
ENSG00000124915_core_1	ENSG00000124915	Rabbit	HLoryCun3	chr11	61746653	61746901	-	VIYN01007105	791391	791679	0.0522	154	1	R0	Q0	True	False	False	False	False	False
ENSG00000124915_core_1	ENSG00000124915	Flying fox	HLpteVam2	chr11	61746653	61746901	-	KN525861	576934	577222	0.0173	181	1	R0	Q1	True	True	True	True	True	False
ENSG00000124915_core_1	ENSG00000124915	Cow	bosTau9	chr11	61746653	61746901	-	chr29	40190787	40191035	0.0122	234	1	R0	Q1	True	True	True	True	True	False
ENSG00000124915_core_1	ENSG00000124915	Dog	canFam5	chr11	61746653	61746901	-	chr18	54835843	54836051	0.0689	117	1	R0	Q6	True	False	False	False	False	False
ENSG00000124915_core_1	ENSG00000124915	Armadillo	dasNov3	chr11	61746653	61746901	-	JH569931	4117	4445	0.0527	121	1	R0	Q5	True	False	False	False	False	False
ENSG00000124915_core_1	ENSG00000124915	Horse	equCab3	chr11	61746653	61746901	-	chr12	25249368	25249616	0.0118	233	1	R0	Q1	True	True	True	True	True	False
ENSG00000124915_core_1	ENSG00000124915	Hedgehog	eriEur2	chr11	61746653	61746901	-	JH835583	506388	506516	0.0433	124	1	R0	Q1	True	True	False	False	False	False
ENSG00000124915_core_1	ENSG00000124915	Cat	felCat9	chr11	61746653	61746901	-	chrD1	107760792	107761000	0.0152	204	1	R0	Q1	True	True	True	True	True	False
ENSG00000124915_core_1	ENSG00000124915	Mouse	mm39	chr11	61746653	61746901	-	chr19	10222762	10223130	0.017	218	1	R0	Q3	True	True	True	True	True	False
ENSG00000124915_core_1	ENSG00000124915	Rhesus	rheMac10	chr11	61746653	61746901	-	chr14	12428946	12429394	0.0109	212	1	R0	Q1	True	True	True	True	True	False
ENSG00000124915_core_1	ENSG00000124915	Rat	rn7	chr11	61746653	61746901	-	chr1	206891095	206891223	0.0949	79	1	R0	Q3	True	False	False	False	False	False
ENSG00000157306_core_10	ENSG00000157306	Bryde's whale	HLbalEde1	chr14	23559023	23559551	+	HiC_scaffold_20	68500004	68500452	0.0064	456	1	R9	Q2	True	True	True	True	True	True
ENSG00000157306_core_10	ENSG00000157306	Dromedary	HLcamDro2	chr14	23559023	23559551	+	CM016632	33448106	33448394	0.0087	289	1	R9	Q8	True	True	True	True	True	True
